--------Result---------------
[148, 'A321', 'VJ138', 650, 685, 8, 'AT72', '0V8067', 0.0527027027027027, 0.0527027027027027]
[149, 'A321', 'VN1401', 650, 685, 33, 'A321', 'VJ891', 0.10825825825825826, 0.10825825825825826]
[150, 'A321', 'VN1820', 540, 690, 53, 'A321', 'VN234', 0.052702702702702706, 0.052702702702702706]
[151, 'A321', 'VN594', 635, 690, 42, 'A321', 'VN605', 0.1327027027027027, 0.1327027027027027]
[152, 'A321', 'VJ687', 360, 695, 74, 'A321', 'VJ602', 0.052702702702702706, 0.052702702702702706]
[153, 'A321', 'VN122', 660, 695, 9, 'A320', 'BL672', 0.052702702702702706, 0.0527027027027027]
[154, 'A321', 'VN1372', 670, 705, 2, 'A321', 'BL313', 0.052702702702702706, 0.052702702702702706]
[155, 'A320', 'BL757', 675, 710, 3, 'A320', 'BL424', 0.052702702702702706, 0.052702702702702706]
[156, 'A320', 'VJ890', 665, 710, 36, 'A320', 'BL432', 0.052702702702702706, 0.052702702702702706]
[157, 'A321', 'CZ3069', 660, 715, 54, 'A321', 'CZ3070', 0.052702702702702706, 0.052702702702702706]
[158, 'AT72', '0V8067', 685, 720, 8, 'A321', 'VN124', 0.052702702702702706, 0.0527027027027027]
[159, 'A321', 'VN7381', 680, 720, 32, 'A321', 'VN7392', 0.052702702702702706, 0.052702702702702706]
[160, 'A321', 'VN225', 670, 720, 71, 'A321', 'VN236', 0.052702702702702706, 0.052702702702702706]
[161, 'A320', 'BL565', 675, 720, 55, 'A320', 'BL133', 0.19555984555984557, 0.19555984555984557]
[162, 'A321', 'BL753', 660, 725, 34, 'A321', 'VN1815', 0.052702702702702706, 0.052702702702702706]
[163, 'A350', 'OZ731', 665, 725, 4, 'A350', 'OZ732', 0.052702702702702706, 0.052702702702702706]
[164, 'A320', 'BL672', 695, 730, 9, 'AT72', 'K6817', 0.0527027027027027, 0.0527027027027027]
[165, 'AT72', 'K6809', 500, 745, 17, 'AT72', '0V8073', 0.052702702702702706, 0.052702702702702706]
[166, 'A321', 'VN124', 720, 755, 8, 'A321', 'VN1426', 0.052702702702702706, 0.0527027027027027]
