
======Show the result======
[206, 'A321', 'VN128', 840, 885, 1, 'A320', 'VJ813', 0, 0.00961538, 1, 0.01226089]
[207, 'A320', 'BL678', 840, 895, 2, 'A320', 'VJ327', 1, 0.01923077, 4, 0.03245828]
[208, 'AT72', '0V8079', 860, 895, 3, 'A320', 'QH204', 0, 0.02884615, 3, 0.03678266]
[210, 'A320', 'TR306', 855, 895, 36, 'A320', 'TR307', 0, 0.34615385, 1, 0.34879935]
[211, 'A321', 'VJ146', 840, 900, 31, 'A321', 'VN130', 0, 0.29807692, 0, 0.29807692]
[212, 'A321', 'VJ372', 850, 900, 32, 'A320', 'BL434', 0, 0.30769231, 4, 0.31827432]
[213, 'A321', 'VJ645', 845, 900, 33, 'A321', 'VN1396', 0, 0.31730769, 3, 0.3252442]
[214, 'A350', 'VN246', 870, 900, 4, 'A350', 'VN248', 0, 0.03846154, 2, 0.04375254]
[215, 'A321', 'VJ620', 850, 900, 34, 'A321', 'VJ876', 0, 0.32692308, 1, 0.32956858]
[216, 'A321', 'VN1186', 850, 905, 37, 'A320', 'VJ224', 1, 0.35576923, 1, 0.36106024]
[217, 'A321', 'VJ140', 850, 910, 38, 'A320', 'BL772', 1, 0.36538462, 1, 0.37067562]
[218, 'A320', 'VJ813', 885, 915, 1, 'A320', 'VJ374', 1, 0.00961538, 2, 0.01755189]
[219, 'A321', 'VN655', 850, 915, 40, 'A321', 'VN675', 1, 0.38461538, 1, 0.38990639]
[220, 'A320', 'VJ327', 810, 920, 41, 'A321', 'BL321', 1, 0.39423077, 1, 0.39423077]
[221, 'A320', 'VJ327', 895, 925, 2, 'AT72', '0V8085', 1, 0.01923077, 3, 0.02981278]
[222, 'A320', 'QH204', 895, 925, 3, 'A320', 'BL692', 0, 0.02884615, 2, 0.03413716]
[223, 'A320', 'AK1502', 810, 925, 42, 'A321', 'VJ2552', 0, 0.40384615, 1, 0.40649166]
[224, 'A321', 'VN130', 900, 930, 31, 'A321', 'VN132', 0, 0.29807692, 3, 0.30601343]
[225, 'A321', 'PR597', 870, 930, 43, 'A321', 'PR598', 0, 0.41346154, 2, 0.41875254]
[226, 'A320', '3K557', 890, 930, 51, 'A320', '3K558', 0, 0.49038462, 1, 0.30769231]
[227, 'A320', '3K557', 900, 935, 32, 'A320', 'BL350', 0, 0.30769231, 0, 0.30769231]
[228, 'A321', 'VN1396', 900, 940, 33, 'A321', 'VN1827', 0, 0.31730769, 2, 0.3225987]
[229, 'A321', 'CZ373', 870, 940, 53, 'A321', 'CZ374', 0, 0.50961538, 1, 0.51226089]
[230, 'A320', 'VJ374', 915, 945, 1, 'A321', 'VJ260', 0, 0.00961538, 0, 0.00961538]
[231, 'A321', 'VJ876', 900, 945, 34, 'AT72', 'K6825', 0, 0.32692308, 1, 0.32956858]
[232, 'A320', 'FD654', 920, 950, 52, 'A320', 'FD655', 0, 0.5, 1, 0.5026455]
[233, 'AT72', '0V8085', 925, 955, 2, 'A321', 'VJ2574', 0, 0.01923077, 0, 0.01923077]
[234, 'B773', 'BR395', 585, 955, 12, 'B773', 'BR396', 0, 0.11538462, 2, 0.12067562]
[236, 'A321', 'VN132', 930, 960, 31, 'A321', 'VN134', 0, 0.29807692, 0, 0.29807692]
[237, 'A320', 'VJ224', 905, 960, 37, 'A321', 'VN7815', 0, 0.35576923, 6, 0.37164225]
[238, 'A320', 'BL772', 910, 960, 38, 'A321', 'BL452', 0, 0.36538462, 5, 0.37861213]
[239, 'A320', 'BL692', 925, 960, 3, 'A320', 'VJ314', 0, 0.02884615, 4, 0.03942816]
[240, 'A321', 'VN675', 915, 960, 40, 'A321', 'VN256', 0, 0.38461538, 3, 0.39255189]
[241, 'A321', 'VN921', 915, 960, 54, 'A321', 'VN920', 0, 0.51923077, 2, 0.52452177]
[242, 'A350', 'VN248', 900, 960, 4, 'A350', 'VN657', 0, 0.03846154, 1, 0.04110704]
[243, 'A320', 'BL350', 935, 965, 32, 'A320', 'BL378', 0, 0.30769231, 0, 0.30769231]
[244, 'A321', 'VJ613', 365, 975, 73, 'A321', 'VJ608', 1, 0.70192308, 2, 0.70985958]
[245, 'A321', 'VJ260', 945, 975, 1, 'A321', 'VN7833', 1, 0.00961538, 1, 0.01490639]
[246, 'A321', 'VN1827', 940, 980, 33, 'A321', 'VJ308', 1, 0.31730769, 4, 0.33053521]
[247, 'AT72', 'K6825', 945, 980, 34, 'A321', 'VN813', 1, 0.32692308, 3, 0.33750509]
[248, 'B738', 'OD561', 925, 980, 5, 'B738', 'OD562', 1, 0.04807692, 2, 0.05601343]
[249, 'A320', 'AK522', 950, 980, 36, 'A320', 'AK523', 1, 0.34615385, 1, 0.35144485]
[250, 'A321', 'VN571', 625, 985, 74, 'A321', 'VN570', 2, 0.71153846, 1, 0.71947497]
[251, 'A321', 'VN1347', 935, 990, 71, 'A321', 'VN1352', 1, 0.68269231, 1, 0.68798331]
[252, 'B738', 'MH758', 940, 1000, 6, 'B738', 'MH759', 1, 0.05769231, 1, 0.06298331]
[253, 'A321', 'VN7833', 975, 1005, 1, 'A321', 'VN1382', 1, 0.00961538, 0, 0.01226089]
[254, 'A350', 'VN657', 960, 1010, 4, 'B787', 'VN607', 1, 0.03846154, 1, 0.04375254]
[255, 'A321', 'VJ2574', 955, 1020, 2, 'A321', 'VN136', 1, 0.01923077, 3, 0.02981278]
[256, 'A321', 'VN134', 960, 1020, 31, 'A321', 'QH216', 2, 0.29807692, 2, 0.30865893]
[257, 'B738', 'OD561', 980, 1020, 5, 'A350', 'VN258', 2, 0.04807692, 1, 0.05601343]
[258, 'A320', 'BL378', 965, 1025, 32, 'A321', 'VN598', 2, 0.30769231, 0, 0.31298331]
